公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
武汉佰钧成技术有限责任公司,武汉佰钧成技术有限公司,2000人以上,不需要融资,江夏区,CMO,不限,本科,5k-8k,"朝九晚六,周末双休,带薪年假,五险一金"
传神语联网网络科技股份有限公司,传神,500-2000人,上市公司,洪山区,高级测试工程师（大数据方向）,5-10年,本科,10k-15k,"氛围和谐,专业培训,机遇和挑战"
武汉明源云科技有限公司,明源云,500-2000人,上市公司,洪山区,高级软件测试工程师,5-10年,大专,10k-15k,技能提升 扁平化 五险一金 双休
北京广通信达软件股份有限公司杭州分公司,广通软件,150-500人,上市公司,武昌区,项目经理-武汉,3-5年,本科,12k-20k,"扁平管理,技术驱动,行业前驱"
湖北会基网络科技有限公司,会基科技,50-150人,未融资,东湖新技术开发区,测试工程师,1-3年,本科,4k-7k,"五险一金,岗位晋升,节日福利,年终奖金"
北京小米科技有限责任公司,小米,2000人以上,D轮及以上,江夏区,自然语言处理工程师,3-5年,本科,20k-40k,"餐补班车,优秀团队,年终奖,带薪年假"
湖北盛天网络技术股份有限公司,盛天网络,500-2000人,上市公司,东湖新技术开发区,大数据运维工程师,3-5年,本科,10k-20k,"大数据,发展"
武汉小码联城科技有限公司,小码联城,150-500人,A轮,江岸区,测试工程师,1-3年,大专,8k-10k,"带薪年假,节日福利,年度体检,团建活动"
思特沃克软件技术（成都）有限公司,ThoughtWorks,2000人以上,不需要融资,洪山区,前端开发,3-5年,本科,12k-20k,国际化视野 扁平管理 技术氛围
上海罗盘信息科技有限公司,罗盘科技,150-500人,不需要融资,武昌区,前端开发工程师,1-3年,本科,8k-12k,"年底双薪,绩效奖金,带薪年假,员工旅游"
武汉心络科技有限公司,武汉心络科技有限公司,50-150人,未融资,东湖新技术开发区,NLP工程师,3-5年,本科,15k-25k,"五险一金,弹性上班,免费午餐"
湖北云天下教育科技有限公司,湖北云天下教育科技有限公司,150-500人,A轮,东湖新技术开发区,运维工程师,3-5年,本科,7k-14k,好平台 高薪酬 福利优 配股权
快寻科技（武汉）有限公司,快寻科技（武汉）有限公司,150-500人,不需要融资,洪山区,性能测试工程师,1-3年,大专,6k-7k,"五险一金,股票期权,创业公司,弹性工作"
安徽百得思维信息科技有限公司,百得思维,500-2000人,未融资,洪山区,应用运维,5-10年,大专,15k-20k,五险一金节假日福利双休都有
武汉展盛科技有限公司,展盛科技,少于15人,未融资,江汉区,算法工程师,1-3年,硕士,8k-15k,"股权激励,行业前景大,老板人好,高成长"
河南省现代农业大数据产业技术研究院有限公司,河南省农业大数据研究院,15-50人,B轮,东湖新技术开发区,知识图谱工程师,不限,硕士,10k-20k,"弹性作息,国资背景,扁平化管理,高学历团队"
北京神州绿盟信息安全科技股份有限公司,绿盟科技,500-2000人,上市公司,洪山区,安全数据分析研究员,不限,本科,10k-20k,"年终奖,丰厚补贴,弹性工作,平台好"
武汉锐视智慧科技有限公司,锐视智慧,15-50人,不需要融资,东湖新技术开发区,算法工程师,1-3年,硕士,15k-25k,"技术牛,有人带,数据多,天天挑战"
武汉心络科技有限公司,武汉心络科技有限公司,50-150人,未融资,东湖新技术开发区,大数据工程师,3-5年,本科,15k-25k,"五险一金,股票期权,餐饮补贴"
北京尚德在线教育科技有限公司,尚德机构,2000人以上,上市公司,东湖新技术开发区,中高级前端开发,3-5年,本科,15k-30k,"弹性班,超长带薪,技术氛围棒,加班少"
威仕德莱森科技（武汉）有限公司,威仕德莱森科技,15-50人,不需要融资,武昌区,嵌入式驱动工程师,1-3年,本科,10k-15k,"五险一金,专业培训,年终奖金,年假旅游"
武汉格事化信息技术有限公司,武汉格事化信息技术有...,15-50人,不需要融资,江岸区,测试主管,5-10年,本科,12k-18k,"职位晋升,股权激励,管理扁平化,团队氛围佳"
上海赛连信息科技有限公司,小鱼易连,150-500人,B轮,东湖新技术开发区,高级Java工程师-武汉,5-10年,本科,10k-20k,"五险一金,年底双薪,餐饮补贴,弹性工作"
行吟信息科技（上海）有限公司,小红书,500-2000人,D轮及以上,洪山区,前端工程师-（2019校招）,应届毕业生,本科,10k-20k,"六险一金,餐补,年终多多"
武汉微派网络科技有限公司,微派,50-150人,B轮,东湖新技术开发区,数据分析师,3-5年,本科,15k-25k,"独挡一面,充分授权"
科大讯飞股份有限公司,科大讯飞,2000人以上,上市公司,东湖新技术开发区,研究员（自然语言）,3-5年,本科,10k-20k,前沿技术、大平台、领导nice
优品财富管理有限公司,优品财富管理有限公司,500-2000人,未融资,江夏区,测试工程师,不限,本科,7k-14k,腾讯团队
武汉师师网科技有限公司,师师网,50-150人,天使轮,东湖新技术开发区,Java开发工程师,3-5年,大专,15k-26k,五险一金，股票期权，扁平化管理，年终分红
安徽百得思维信息科技有限公司,百得思维,500-2000人,未融资,东湖新技术开发区,应用运维,3-5年,本科,8k-15k,五险一金，双休，年终奖
武汉万江龙网络有限公司,万江龙,50-150人,B轮,,高级前端工程师,3-5年,大专,12k-18k,绩效奖金/股票期权/带薪年假/与大牛共事
江苏其厚智能电气设备有限公司,某国企全资子公司,150-500人,不需要融资,洪山区,云存储测试工程师,3-5年,本科,13k-26k,国企
武汉佰钧成技术有限责任公司,武汉佰钧成技术有限公司,2000人以上,不需要融资,东湖新技术开发区,自动化测试,不限,本科,6k-12k,"六险一金,班车接送,带薪年假,年度体检"
武汉诗诺科技股份有限公司,南泥湾,150-500人,上市公司,洪山区,前端架构师,3-5年,本科,10k-15k,"五险一金,多次调薪,周末双休,节日福利"
北京亚鸿世纪科技发展有限公司,亚鸿世纪,150-500人,不需要融资,洪山区,大数据测试工程师,3-5年,本科,7k-14k,"六险一金,假期多,领导好！,奖金多"
武汉永恒龙腾商务咨询有限公司,永恒龙腾,150-500人,A轮,洪山区,高级前端开发工程师,3-5年,本科,15k-30k,"行业前三,上市公司,晋升空间大"
群硕软件开发（上海）有限公司,群硕软件,500-2000人,未融资,东湖新技术开发区,软件开发工程师,应届毕业生,本科,6k-8k,"福利多,年假,体检,补贴"
武汉锐视智慧科技有限公司,锐视智慧,15-50人,不需要融资,东湖新技术开发区,系统开发工程师（后端）,1-3年,本科,10k-16k,"其实不简单,优美的架构,最新的技术,大胆去干"
深圳市新国都技术股份有限公司,新国都,2000人以上,上市公司,洪山区,JAVA开发工程师（武汉）,3-5年,本科,15k-30k,"上市公司,发展前景好,五险一金"
西安英诺软件有限公司,英诺软件,150-500人,不需要融资,东西湖区,数据库开发工程师,1-3年,大专,7k-10k,"公司大,平台好,福利多,成长快"
北京慧睿国际技术发展有限公司,慧睿国际,,,武昌区,php开发工程师,1-3年,大专,5k-8k,高新园区，发展空间大。
深圳市星际无限科技有限公司,深圳市星际无限科技有限公司,15-50人,未融资,东湖新技术开发区,安全工程师,3-5年,大专,8k-10k,"高薪,弹性"
武汉光谷信息技术股份有限公司,武汉光谷信息,500-2000人,上市公司,江夏区,高级前端开发,3-5年,本科,10k-15k,"技术大牛,OPEN,技术新"
武汉莱博信息技术有限公司,莱博科技,50-150人,不需要融资,东湖新技术开发区,数据采集工程师,不限,大专,5k-10k,"升职,加薪,待遇好,双休"
杭州财人汇网络股份有限公司,财人汇,150-500人,上市公司,江汉区,网络工程师,1-3年,本科,6k-8k,"软件企业,五险一金,双休"
北京百分点信息科技有限公司,百分点,500-2000人,D轮及以上,洪山区,NLP架构师(J10272),3-5年,本科,18k-36k,"五险一金,弹性工作,绩效奖金,补充医疗"
武汉远成共创科技有限公司,湖北远成,500-2000人,未融资,武昌区,WEB前端开发工程师,3-5年,大专,4k-8k,"包吃,包住,稳定,牛人多"
任子行网络技术股份有限公司,任子行,500-2000人,上市公司,东湖新技术开发区,系统架构工程师,5-10年,本科,15k-30k,"六险一金,午餐补贴,周末双休,股权激励"
安徽百得思维信息科技有限公司,百得思维,500-2000人,未融资,蔡甸区,linux运维工程师,1-3年,大专,8k-12k,"专业,技术精湛"
贵阳高登世德金融科技有限公司,高登世德金融科技,50-150人,A轮,武昌区,金融量化分析实习生,应届毕业生,本科,2k-3k,"金融科技,扁平管理,出国机会,专业培训"
晓夜科技（武汉）有限公司,晓夜科技,15-50人,未融资,武昌区,运维开发工程师,1-3年,大专,6k-12k,"带薪年假,地铁口,双休"
北京神州绿盟信息安全科技股份有限公司,绿盟科技,500-2000人,上市公司,洪山区,web安全研究员,不限,不限,15k-25k,"年终奖,丰厚补贴,弹性工作,平台好"
武汉唯理科技有限公司,唯理科技,15-50人,不需要融资,东湖新技术开发区,图像识别工程师,不限,不限,6k-12k,"博士带队,发展空间好,项目棒"
武汉佰钧成技术有限责任公司,武汉佰钧成技术有限公司,2000人以上,不需要融资,东湖新技术开发区,CMO(配置管理）--华为外派岗位,1-3年,本科,4k-8k,"六险一金,年度体检,带薪年假,大平台学习"
北京四维图新科技股份有限公司,四维图新,2000人以上,上市公司,洪山区,自然语言处理工程师,1-3年,本科,12k-20k,"六险一金,待遇优厚,成长空间"
北京小米科技有限责任公司,小米,2000人以上,D轮及以上,江夏区,搜索页面分析工程师—搜索与推荐,不限,本科,15k-30k,"五险一金,餐补,年终奖,人工智能"
上海固锦信息技术有限公司,万唯金融,50-150人,未融资,江汉区,中级功能测试,1-3年,大专,5k-7k,"跨境产品,绩效奖金,五险一金,氛围和谐"
泰康在线财产保险股份有限公司,泰康在线,500-2000人,不需要融资,江岸区,数学建模（大数据部）,3-5年,本科,18k-25k,"福利非常全,发展空间大,办公环境好,交通便利"
中文在线数字出版集团股份有限公司,中文在线,500-2000人,上市公司,武汉经济技术开发区,测试工程师 (MJ000239),3-5年,本科,8k-15k,"上市公司,在线教育,14薪,扁平化管理"
九州通医药集团股份有限公司,九州通医药集团股份有限公司,2000人以上,上市公司,汉阳区,大数据架构师,5-10年,本科,9k-18k,"上市公司,五险一金,绩效奖金,年终奖"
武汉派生科技有限公司,派生科技,150-500人,不需要融资,洪山区,前端开发工程师,3-5年,大专,8k-12k,前端
诚迈科技（南京）股份有限公司,诚迈科技,2000人以上,上市公司,东湖新技术开发区,自动化测试,1-3年,本科,8k-15k,"发展空间大,加班费,奖金,补贴"
湖北银通天下科技有限公司,银通天下科技,15-50人,未融资,武昌区,技术副总监,5-10年,本科,15k-25k,凭能力高薪
武汉唯理科技有限公司,唯理科技,15-50人,不需要融资,东湖新技术开发区,NLP-自然语言处理工程师,1-3年,硕士,15k-20k,"最新技术,与高校合作"
武汉唯信兄弟科技有限公司,唯信兄弟科技,15-50人,A轮,洪山区,算法工程师研究员,1-3年,本科,10k-20k,"合伙人,原始股,有趣"
北京百分点信息科技有限公司,百分点,500-2000人,D轮及以上,洪山区,大数据架构师(J10263),5-10年,本科,15k-30k,"五险一金,弹性工作,补充医疗,绩效奖金"
武汉极意网络科技有限公司,极验,50-150人,B轮,东湖新技术开发区,2019-深度学习/机器学习工程师,应届毕业生,本科,7k-14k,"团队超棒,产品超酷,AI,极客范"
朗新科技股份有限公司,朗新科技,2000人以上,上市公司,洪山区,大数据开发工程师(2019届应届生),应届毕业生,本科,5k-8k,"六险一金,带薪年假,弹性工作,应届生培养"
武汉市立德思科技有限公司,创享学院,15-50人,天使轮,洪山区,腾讯云大数据讲师，大数据讲师，云计算讲师,1-3年,本科,10k-15k,"员工旅行,绩效奖金,做五休二,年终奖金"
武汉心络科技有限公司,武汉心络科技有限公司,50-150人,未融资,东湖新技术开发区,运维工程师,1-3年,本科,6k-10k,"股票期权,五险一金,快速成长"
北京小米科技有限责任公司,小米,2000人以上,D轮及以上,江夏区,高级Java研发工程师-订单中心(武汉),不限,本科,12k-24k,"餐补班车,优秀团队,年终奖,带薪年假"
武汉哥本巷科技有限公司,哥本巷,15-50人,未融资,洪山区,数据分析师,3-5年,硕士,12k-20k,"五险一金,餐补,年终奖,周末双休"
美尔雅期货有限公司,美尔雅期货,150-500人,上市公司,江汉区,信息系统运维工程师,不限,本科,4k-7k,"领导好,五险一金,公司福利,员工体检"
上海有点信息科技有限公司,有点,15-50人,未融资,洪山区,机器学习/深度学习/算法工程师,1-3年,本科,6k-12k,"工作氛围好,周末双休,良好的环境"
深之度科技(武汉)有限公司,武汉深之度科技有限公司,50-150人,天使轮,洪山区,测试工程师,不限,大专,5k-8k,五险一金双休餐补免费体检旅游
北京数字政通科技股份有限公司武汉分公司,武汉政通,500-2000人,上市公司,洪山区,资深算法研究员,3-5年,硕士,15k-25k,"AI,大牛多,福利好"
武汉皮皮外语网络科技有限公司,皮皮外语,15-50人,未融资,东湖新技术开发区,高级运维工程师,5-10年,本科,10k-20k,"朝九晚六,弹性工作制,五险一金"
上海龙照电子有限公司,龙照电子,50-150人,不需要融资,洪山区,web前端开发工程师,3-5年,大专,10k-17k,"周末双休,五险一金,定期体检,年终奖金"
武汉市公用电子工程有限责任公司,公用电子,50-150人,不需要融资,硚口区,大数据,3-5年,本科,12k-18k,"自主研发,双休,扁平管理"
朗新科技股份有限公司,朗新科技,2000人以上,上市公司,洪山区,高级测试工程师,3-5年,大专,10k-20k,测试
武汉芯云道数据科技有限公司,芯云道数据科技,15-50人,未融资,江岸区,金融量化工程师,1-3年,本科,6k-12k,"掌握至少一,门高级编程,语言"
安徽百得思维信息科技有限公司,百得思维,500-2000人,未融资,江汉区,银行技术风控,不限,本科,10k-12k,"专业,热情"
当代金融信息技术（武汉）有限公司,当代金融科技,50-150人,不需要融资,武昌区,数据工程师,5-10年,本科,16k-25k,"年轻团队,交通便利,早餐午餐"
武汉纬孚信息科技有限公司,纬孚信息,少于15人,未融资,江汉区,后端开发工程师,3-5年,不限,6k-8k,"移动互联网,服务端"
武汉四海华彩互联网科技信息有限公司,四海华彩互联网,150-500人,天使轮,江汉区,测试经理,3-5年,本科,10k-20k,"五险一金,周末双休,弹性时间"
加和（北京）信息科技有限公司,加和科技,50-150人,A轮,东湖新技术开发区,PHP中级开发工程师,3-5年,本科,10k-20k,"先锋行业,年轻团队,位置绝佳"
武汉达此网络科技有限公司,达此网络,2000人以上,不需要融资,洪山区,java开发工程师,1-3年,本科,8k-16k,"五险一金,双休,年终奖,弹性工时"
武汉精诚文化传播有限公司,精诚文化传播,15-50人,未融资,江汉区,软件项目经理,1-3年,本科,6k-8k,双休
明盛软件发展（武汉）有限公司,MSC Software,150-500人,未融资,东湖新技术开发区,图形渲染,5-10年,本科,10k-16k,"五险一金,弹性工作制,双休,优秀的产品"
乐跑体育互联网（武汉）有限公司,乐跑体育,50-150人,A轮,东湖新技术开发区,php后台开发,1-3年,大专,8k-12k,"股票期权,带薪年假,福利多多,环境优雅"
武汉佰钧成技术有限责任公司,武汉佰钧成技术有限公司,2000人以上,不需要融资,东湖新技术开发区,cmo,不限,本科,5k-9k,大型平台项目
北京百分点信息科技有限公司,百分点,500-2000人,D轮及以上,洪山区,数据工程师(J10262),1-3年,本科,8k-16k,"五险一金,弹性工作,补充医疗,绩效奖金"
北京金山软件有限公司,金山办公软件,2000人以上,上市公司,东湖新技术开发区,测试工程师,3-5年,本科,10k-20k,"弹性工作,给力年终,普调加薪,年度旅游"
湖南省科域生物医药科技有限公司,科域生物,50-150人,不需要融资,洪山区,高级生信分析师,不限,本科,8k-15k,五险一金＋商业保险＋年度旅游＋月度福利
行吟信息科技（上海）有限公司,小红书,500-2000人,D轮及以上,洪山区,前端工程师-（2019校招）,应届毕业生,本科,10k-20k,"六险一金,餐补,年终多多"
武汉乐享创梦科技有限公司,乐享创梦,15-50人,未融资,洪山区,PHP开发工程师,1-3年,大专,6k-12k,"出国旅游,项目分红,年终多金,五险一金"
福韵数据服务有限公司,福韵数据服务有限公司,150-500人,不需要融资,洪山区,数据挖掘,3-5年,本科,10k-20k,"程序开发设,数据分析,数据挖掘,算法实现"
武汉白虹软件科技有限公司,白虹软件,150-500人,上市公司,洪山区,数据挖掘算法工程师,1-3年,硕士,10k-20k,上市公司
武汉海星通技术股份有限公司,武汉海星通技术股份有限公司,15-50人,不需要融资,洪山区,高级运维工程师,3-5年,本科,11k-14k,优秀团队 节日福利 带薪年假 五险一金
湖北航天信息技术有限公司,湖北航信,500-2000人,不需要融资,武昌区,DBA数据库管理员,3-5年,本科,7k-14k,五险一金，免费体检，午餐补贴
武汉极意网络科技有限公司,极验,50-150人,B轮,东湖新技术开发区,2019-测试工程师,应届毕业生,本科,6k-12k,"团队超棒,产品超酷,AI,极客范"
北京奇安信科技有限公司,360企业安全,2000人以上,不需要融资,洪山区,系统架构师(000587),5-10年,本科,20k-30k,"大数据平台,精英团队,弹性工作,股票期权"
武汉唯理科技有限公司,唯理科技,15-50人,不需要融资,东湖新技术开发区,爬虫工程师,1-3年,本科,10k-20k,"前景好,办公室零食,妹子多"
武汉成长无限网络科技有限公司,成长无限网络,15-50人,不需要融资,武昌区,风控经理,3-5年,本科,15k-20k,"五险双休,待遇好,朝九晚五,环境舒适"
盛视科技股份有限公司,盛视,500-2000人,不需要融资,洪山区,机器学习算法工程师,不限,硕士,15k-30k,"空间大,薪酬高,福利多,大牛多"
武汉心络科技有限公司,武汉心络科技有限公司,50-150人,未融资,东湖新技术开发区,Web前端开发工程师,3-5年,本科,12k-18k,"股票期权,餐饮补贴,五险一金"
武汉虹旭信息技术有限责任公司,烽火科技&middot;虹旭信息技术有限公司,150-500人,不需要融资,江夏区,Linux C/C++ 软件工程师,3-5年,本科,6k-12k,"职业通道,前景广阔,福利完善"
北京同创永益科技发展有限公司,同创永益,50-150人,未融资,东湖新技术开发区,测试工程师,3-5年,本科,8k-12k,"五险一金,各种补贴,扁平化,发展好"
武汉成长无限网络科技有限公司,成长无限网络,15-50人,不需要融资,武昌区,风控总监,5-10年,大专,20k-30k,"五险双休,待遇好,朝九晚五,环境舒适"
武汉慧联无限科技有限公司,慧联无限,15-50人,未融资,东湖新技术开发区,运维实习岗,应届毕业生,本科,1k-2k,弹性工作制 双休
九州通医药集团股份有限公司,九州通医药集团股份有限公司,2000人以上,上市公司,东湖新技术开发区,大数据工程师,3-5年,本科,12k-22k,"五险一金,带薪休假,食宿补贴,绩效年终奖"
武汉佰钧成技术有限责任公司,武汉佰钧成技术有限公司,2000人以上,不需要融资,东湖新技术开发区,cmo技术支持 可接受应届生,不限,本科,4k-8k,"五险一金,周末双休,加班少,奖金"
武汉锐视智慧科技有限公司,锐视智慧,15-50人,不需要融资,东湖新技术开发区,算法工程师（培训生）,1-3年,本科,5k-10k,"其实不简单,优美的架构,最新的技术,大胆去干"
行吟信息科技（上海）有限公司,小红书,500-2000人,D轮及以上,东湖新技术开发区,资深测试,1-3年,本科,10k-15k,"六险一金,免费三餐,年终多多"
上海固锦信息技术有限公司,万唯金融,50-150人,未融资,江汉区,高级功能测试,3-5年,本科,12k-15k,"绩效奖金,五险一金,年度旅游"
保易汇（武汉）科技有限公司,保易汇（武汉）科技有限公司,15-50人,未融资,武昌区,前端开发,1-3年,本科,8k-10k,"五险双休,氛围好"
河南省现代农业大数据产业技术研究院有限公司,河南省农业大数据研究院,15-50人,B轮,东湖新技术开发区,图像算法工程师,不限,硕士,10k-20k,"高薪,晋升空间大,高精尖团队,工作氛围好"
湖北微模式科技发展有限公司,微模式软件,50-150人,A轮,洪山区,技术支持（售前）,1-3年,本科,8k-15k,五险一金、行业竞争力薪资，带薪年假、双休
武汉极意网络科技有限公司,极验,50-150人,B轮,东湖新技术开发区,测试工程师,不限,本科,6k-10k,"技术氛围好,大佬云集"
全息云通健康科技（北京）有限公司,全息云通,50-150人,未融资,东湖新技术开发区,大数据工程师,3-5年,本科,12k-24k,"5A写字楼,行业资源多,前景广阔"
武汉极目未来数据技术有限公司,余物宝,150-500人,B轮,东湖新技术开发区,测试工程师,3-5年,本科,8k-11k,"周末双休,五险一金,弹性工时,零食小吃"
武汉久玩电子商务有限公司,久玩电商,50-150人,B轮,洪山区,软件测试工程师,1-3年,本科,4k-8k,"节日福利,每年调薪,绩效奖金"
北京思拓合众科技有限公司,CmsTop,50-150人,未融资,洪山区,资深运维开发工程师,5-10年,本科,10k-20k,"周末双休,福利待遇好,团队氛围佳,公司前景好"
湖北银通天下科技有限公司,银通天下科技,15-50人,未融资,武昌区,PHP开发经理,5-10年,本科,15k-25k,凭能力高薪
北京尚德在线教育科技有限公司,尚德机构,2000人以上,上市公司,洪山区,WEB前端开发,1-3年,本科,6k-10k,双休
江西国泰利民信息科技有限公司,国泰利民,150-500人,未融资,洪山区,高级安全测试工程师（武汉）,3-5年,本科,10k-15k,"国企,年终奖"
北京一猫汽车科技有限公司,一猫汽车网,150-500人,B轮,江汉区,PHP工程师,3-5年,本科,10k-20k,互联网
尼尔林技术咨询（深圳）有限公司,尼尔林,150-500人,不需要融资,东湖新技术开发区,C++开发,应届毕业生,本科,10k-18k,"五险一金,双休,绩效奖金"
深圳微易通网络科技有限公司,微易通科技,15-50人,未融资,洪山区,爬虫开发工程师,3-5年,大专,8k-14k,"五险一金,双休,项目提成,福利好"
武汉麦达电子有限公司,麦达集团,50-150人,未融资,东湖新技术开发区,测试工程师,1-3年,本科,4k-6k,五险，双休，交通补贴，餐补，培训
北京百家互联科技有限公司,跟谁学,500-2000人,A轮,洪山区,测试工程师,1-3年,本科,6k-8k,"六险一金,周末双休,提升价值,高速成长"
深圳微品致远信息科技有限公司,中兴微品,150-500人,C轮,洪山区,大数据讲师（武汉）,1-3年,本科,13k-15k,"五险一金,带薪年假,弹性工作,定期体检"
深圳市宏电技术股份有限公司,深圳宏电,150-500人,不需要融资,东湖新技术开发区,图像算法工程师,不限,硕士,10k-20k,"车联网,图像识别,人脸识别,疲劳驾驶"
北京小米移动软件有限公司,小米,2000人以上,D轮及以上,东湖新技术开发区,自然语言处理算法工程师,不限,本科,20k-40k,"小米武汉,NLP"
江西国泰利民信息科技有限公司,国泰利民,150-500人,未融资,洪山区,高级软件测试工程师（武汉）,3-5年,本科,7k-14k,"国企,年终奖"
武汉享趣电子商务有限公司,武汉享趣电子商务有限公司,15-50人,未融资,洪山区,高级Java工程师,3-5年,本科,7k-12k,"扁平化管理,公司氛围好"
武汉市网慧天下科技有限公司,网慧天下,15-50人,不需要融资,洪山区,项目经理,3-5年,本科,8k-16k,"高薪,发展前景,管理"
上海知平信息技术有限公司,知平软件,15-50人,未融资,东湖新技术开发区,终端产品数据分析师,10年以上,硕士,30k-60k,"双休,年假,五险一金"
全息云通健康科技（北京）有限公司,全息云通,50-150人,未融资,东湖新技术开发区,运维DBA,3-5年,本科,10k-15k,"5A写字楼,行业资源多,前景广阔"
武汉微派网络科技有限公司,微派,50-150人,B轮,东湖新技术开发区,测试工程师,1-3年,不限,8k-15k,"苹果榜第一,年底双薪,定期团建,用户量巨大"
传神语联网网络科技股份有限公司,传神,500-2000人,上市公司,洪山区,测试工程师,3-5年,本科,6k-10k,"领导Nic,氛围和谐,发展机会多"
北京同创永益科技发展有限公司,同创永益,50-150人,未融资,东湖新技术开发区,软件测试工程师,应届毕业生,本科,6k-12k,"五险一金,补贴,发展空间大,扁平化管理"
福建顶点软件股份有限公司,顶点软件,500-2000人,不需要融资,洪山区,软件测试工程师（武汉）,应届毕业生,本科,5k-10k,"六险一金,入职培训,过节费,旅游体检"
微结互联网络科技（武汉）有限公司,微结互联,少于15人,天使轮,江夏区,Java工程师,1-3年,本科,4k-8k,"晋升空间,股票期权"
北京尚德在线教育科技有限公司,尚德机构,2000人以上,上市公司,东湖新技术开发区,中级Web前端工程师,3-5年,本科,15k-25k,"十五薪,弹性工时,扁平管理,全额公积金"
湖北银通天下科技有限公司,银通天下科技,15-50人,未融资,武昌区,PHP技术副总监,5-10年,本科,15k-25k,凭能力高薪
武汉简图信息科技有限公司,简图电商,150-500人,不需要融资,东西湖区,微信小程序开发,1-3年,大专,6k-9k,"五险一金,提供住宿,餐饮补贴,交通补贴"
武汉市启蒙听听科技有限公司,启蒙听听,50-150人,A轮,洪山区,测试工程师,3-5年,本科,8k-15k,"五险一金,周末双休,带薪年假,股权激励"
思创微尔网络科技(武汉)有限公司,思创微尔,少于15人,A轮,青山区,Java开发工程师,3-5年,本科,6k-12k,软件开发WEＢ端，APP端，微信小程序
武汉鸥漾高新科技有限公司,鸥漾科技,150-500人,未融资,武昌区,运维工程师,3-5年,大专,9k-13k,五险一金
北京推想科技有限公司,推想科技,150-500人,B轮,硚口区,实施工程师（武汉） (MJ000011),不限,大专,6k-12k,"人工智能,五险一金,试用期全薪,饭补"
北京小米科技有限责任公司,小米,2000人以上,D轮及以上,江夏区,测试开发工程师 — 搜索与推荐,3-5年,本科,13k-25k,"五险一金,年终奖,餐补,人工智能"
武汉轻购云科技有限公司,轻购云,15-50人,A轮,东湖新技术开发区,web前端开发,3-5年,大专,9k-15k,"快速成长,领导好,氛围好"
武汉威泰科技发展有限公司,威泰科技,50-150人,A轮,江夏区,测试经理,5-10年,大专,10k-15k,"五险一金,弹性工作制,年终奖,带薪年假"
